id;label;Latitude;Longitude;status
671;"Katowice";50.474253;19.080019;healthy
674;"Poznan";52.421031;16.826325;healthy
675;"Rzeszow";50.109958;22.019;healthy
676;"Szczecin";53.584731;14.902206;healthy
679;"Warsaw";52.16575;20.967122;healthy
680;"Wroclaw";51.102683;16.885836;healthy
685;"Ronneby";56.266667;15.265;healthy
687;"Gothenborg";57.662836;12.279819;healthy
688;"Joenkoeping";57.757594;14.068731;healthy
691;"Gothenborg";57.774722;11.870372;healthy
693;"Trollhattan";58.318056;12.345;healthy
698;"Mora";60.957908;14.511383;healthy
699;"Stockholm";58.788636;16.912189;healthy
703;"Kristianstad";55.921686;14.085536;healthy
707;"Kalkmar";56.685531;16.287578;healthy
708;"Malmoe";55.530193;13.371639;healthy
709;"Halmstad";56.691128;12.820211;healthy
711;"Vaxjo";56.929144;14.727994;healthy
714;"Sveg";62.047811;14.42295;healthy
715;"Gallivare";67.132408;20.814636;healthy
718;"Kramfors";63.048597;17.768856;healthy
719;"Lycksele";64.548322;18.716219;healthy
721;"Sundsvall";62.528125;17.443928;healthy
722;"Ornskoldsvik";63.408339;18.990039;healthy
724;"Kiruna";67.821986;20.336764;healthy
726;"Skelleftea";64.624772;21.076892;healthy
728;"Umea";63.791828;20.282758;healthy
729;"Vilhelmina";64.579083;16.833575;healthy
730;"Arvidsjaur";65.590278;19.281944;healthy
731;"Orebro";59.223733;15.037956;healthy
733;"Vasteras";59.589444;16.633611;healthy
734;"Lulea";65.543758;22.121989;healthy
737;"Stockholm";59.651944;17.918611;healthy
738;"Stockholm";59.354372;17.94165;healthy
739;"Borlange";60.422017;15.515211;healthy
742;"Linkoeping";58.40615;15.680508;healthy
743;"Norrkoeping";58.586253;16.250622;healthy
746;"Visby";57.662797;18.346211;healthy
772;"Laage";53.918167;12.278333;healthy
794;"Bloemfontein";-29.092722;26.302444;healthy
797;"Cape Town";-33.964806;18.601667;healthy
799;"Durban";-29.970089;30.950519;healthy
800;"East London";-33.035569;27.825939;healthy
804;"George";-34.005553;22.378889;healthy
811;"Hoedspruit";-24.368642;31.048744;healthy
813;"Johannesburg";-26.139166;28.246;healthy
815;"Kimberley";-28.802834;24.765167;healthy
820;"Johannesburg";-25.938514;27.926133;healthy
827;"Margate";-30.857408;30.343019;healthy
838;"Port Elizabeth";-33.984919;25.617275;healthy
840;"Phalaborwa";-23.937166;31.15539;healthy
841;"Polokwane";-23.926089;29.484422;healthy
843;"Pietermaritzburg";-29.648975;30.398667;healthy
849;"Richard's Bay";-28.741039;32.092111;healthy
865;"Upington";-28.399097;21.260239;healthy
866;"Umtata";-31.547903;28.674289;healthy
877;"Francistown";-21.159597;27.474525;healthy
879;"Kasane";-17.832875;25.1624;healthy
